"Topic id","Term","Weight"
"topic_0","mt",23977
"topic_0","america",5425
"topic_0","god",4660
"topic_0","people",3090
"topic_0","time",2766
"topic_0","thank",2727
"topic_0","stand",2649
"topic_0","country",2581
"topic_0","constitution",2076
"topic_0","support",1958
"topic_0","hear",1923
"topic_0","love",1901
"topic_0","life",1855
"topic_0","gun",1829
"topic_0","president",1822
"topic_0","govt",1815
"topic_0","real",1760
"topic_0","military",1716
"topic_0","nation",1700
"topic_0","change",1658
"topic_1","watch",5594
"topic_1","video",4377
"topic_1","please",3947
"topic_1","listen",3734
"topic_1","president",2630
"topic_1","check",2475
"topic_1","interview",2316
"topic_1","trump",2183
"topic_1","share",2144
"topic_1","news",2138
"topic_1","support",1962
"topic_1","live",1839
"topic_1","music",1747
"topic_1","radio",1357
"topic_1","rally",1319
"topic_1","artist",1303
"topic_1","fuck",1263
"topic_1","official",1228
"topic_1","retweet",1189
"topic_1","youre",1066
"topic_2","vote",8658
"topic_2","mt",6929
"topic_2","people",3657
"topic_2","trump",2682
"topic_2","read",2371
"topic_2","tweet",2240
"topic_2","speech",2173
"topic_2","stop",1783
"topic_2","american",1746
"topic_2","congress",1676
"topic_2","money",1418
"topic_2","americans",1299
"topic_2","looks",1182
"topic_2","retweet",1182
"topic_2","west",1178
"topic_2","cruz",1175
"topic_2","care",1112
"topic_2","support",1110
"topic_2","help",1097
"topic_2","america",1094
"topic_3","house",1717
"topic_3","day",1632
"topic_3","win",1532
"topic_3","story",1375
"topic_3","history",1304
"topic_3","black",1187
"topic_3","im",1112
"topic_3","please",1095
"topic_3","donate",1072
"topic_3","congrats",1045
"topic_3","white",1031
"topic_3","home",1025
"topic_3","yall",1019
"topic_3","love",945
"topic_3","people",943
"topic_3","truth",930
"topic_3","†",906
"topic_3","•",874
"topic_3","america",835
"topic_3","ï½™ï½?ï½",826
"topic_4","tell",2565
"topic_4","true",2524
"topic_4","real",2309
"topic_4","hey",2051
"topic_4","thats",2046
"topic_4","live",1635
"topic_4","love",1622
"topic_4","day",1619
"topic_4","little",1446
