,author,content,region,language,publish_date,followers,retweet,account_category,mentions,exist_target
34,10_GOP,Please follow @10_gop and ReTweet this request. We can not allow our voices to be silenced‼️  #FightCensorship #FreeSpeech #LiberalAttack https://t.co/K89hg3alzX,Unknown,English,9/10/2017 20:55,10465,1,RightTroll,10_GOP,True
35,10_GOP,No sir @10_gop We will not be silenced.Keep speaking the Truth Patriot👍 https://t.co/6XbSHEDEHB,Unknown,English,9/10/2017 22:56,10465,1,RightTroll,10_GOP,True
36,10_GOP,'@10_gop soooo happy you're here my friend👍🇺🇸🙏❤️ Welcome back 👍We've always followed each other &amp; always will 👍 https://t.co/32ngCM47mp',Unknown,English,9/11/2017 21:26,10465,1,RightTroll,10_GOP,True
37,10_GOP,FYI @10_gop is back! Give him a follow to show support for OUR 1st amendment &amp; for him. Conservatives cannot be silenced!,Unknown,English,9/11/2017 2:00,10465,1,RightTroll,10_GOP,True
48,10_GOP,'@NaeguNugu @TEN_GOP 👍',Unknown,English,9/15/2017 20:17,10465,0,RightTroll,TEN_GOP,True
51,10_GOP,'@5sahandful @TEN_GOP 👍',Unknown,English,9/15/2017 22:39,10465,0,RightTroll,TEN_GOP,True
84,10_GOP,'@10_gop @realDonaldTrump Congrats on the reply!!',Unknown,English,9/20/2017 2:50,10465,1,RightTroll,10_GOP,True
86,10_GOP,"'@10_gop @realDonaldTrump Retweeted by the POTUS! Congrats Tennessee, You're one of the best twitter accounts to follow!'",Unknown,English,9/20/2017 2:59,10465,1,RightTroll,10_GOP,True
105,10_GOP,Hey everyone. Be sure to retweet this so that you follow my new twitter account @10_gop.   We will not be silenced! https://t.co/kmb1JOSVbg,Unknown,English,9/7/2017 20:54,10465,0,RightTroll,10_GOP,True
106,10_GOP,Time to follow our fellow Trump supporter @10_gop whose account was suspended (again) 🇺🇸 https://t.co/CXozby3AIp,Unknown,English,9/7/2017 23:16,10465,1,RightTroll,10_GOP,True
109,10_GOP,'@Thewall77515902 @TEN_GOP @ELEVEN_GOP @realTEN_GOP We'll keep coming whatever it takes 😎',Unknown,English,9/8/2017 18:31,10465,0,RightTroll,TEN_GOP,True
110,10_GOP,'@Thewall77515902 @TEN_GOP @ELEVEN_GOP @realTEN_GOP We'll keep coming whatever it takes 😎',Unknown,English,9/8/2017 18:31,10465,0,RightTroll,ELEVEN_GOP,True
111,10_GOP,'@Thewall77515902 @TEN_GOP @ELEVEN_GOP @realTEN_GOP We'll keep coming whatever it takes 😎',Unknown,English,9/8/2017 18:31,10465,0,RightTroll,REALTEN_GOP,True
114,10_GOP,Friends - Please FOLLOW my great friend TENESSEE @10_gop  They've been censored but are back! @GIT_ER_DONE_USA @DonnaShelley2 #TrumpTrain,Unknown,English,9/8/2017 2:32,10465,1,RightTroll,10_GOP,True
118,10_GOP,'@tamaraleighllc @TEN_GOP @ELEVEN_GOP @realTEN_GOP Thank you 😌',Unknown,English,9/8/2017 2:59,10465,0,RightTroll,TEN_GOP,True
119,10_GOP,'@tamaraleighllc @TEN_GOP @ELEVEN_GOP @realTEN_GOP Thank you 😌',Unknown,English,9/8/2017 2:59,10465,0,RightTroll,ELEVEN_GOP,True
120,10_GOP,'@tamaraleighllc @TEN_GOP @ELEVEN_GOP @realTEN_GOP Thank you 😌',Unknown,English,9/8/2017 2:59,10465,0,RightTroll,REALTEN_GOP,True
121,1D_NICOLE_,'@DrGregoryWest gave me shivers...',United States,English,8/12/2015 8:02,53,0,Fearmonger,DRGREGORYWEST,True
810,4EVER1937,"'@4ever1937 https://t.co/aoGWqgZK8E знакомьтесь, президент ""ЮГК"", которой принадлежит данный рудник.'",Unknown,Russian,5/18/2017 8:29,11960,1,NonEnglish,4EVER1937,True
813,4EVER1937,"'@4ever1937 1. Конюшня в Дубае. 2. Городская больница №1 (10 км от МКАД РОССИЯ !!!), отделение детской хирургии. https://t.co/Yjm6ZH0WiY'",Unknown,Russian,5/22/2017 10:46,11960,1,NonEnglish,4EVER1937,True
821,4EVER1937,'@4ever1937 Уже вижу вопрос -Что вы скажите о прошедших митингах Навального ? -Они прошли. Ещё вопросы?',Unknown,Russian,5/25/2017 8:34,11960,1,NonEnglish,4EVER1937,True
1010,4MYSQUAD,'@4mysquad No need for cancerous tanning. Bc of Melanin we do not age as quickly as non-Blacks. #BeautifullyBkack',United States,English,10/12/2015 14:54,4811,1,LeftTroll,4MYSQUAD,True
1019,4MYSQUAD,"'@4mysquad She's learning early to run away, from a Brutal Murderer!'",United States,English,10/13/2015 17:57,4811,1,LeftTroll,4MYSQUAD,True
1020,4MYSQUAD,"'@4mysquad Our Government, Supreme Court, Congress, and the DOJ are intertwined in Bigotry and Racism, the DOJ commands Brutal police force!'",United States,English,10/13/2015 17:59,4811,1,LeftTroll,4MYSQUAD,True
1035,4MYSQUAD,'@4mysquad Then I suppose this will have to do until then. ✊⚖☮☯✏ United we stand. http://t.co/QoACz0j5Sh',United States,English,10/14/2015 21:59,4811,1,LeftTroll,4MYSQUAD,True
1050,4MYSQUAD,'@4mysquad Flag down Flagrant Unsportsmanlike Conduct Lifetime Ejection From the Team Additional Sanctions To Follow http://t.co/JdL7L9ZHhS',United States,English,10/15/2015 21:28,4811,1,LeftTroll,4MYSQUAD,True
1053,4MYSQUAD,"'@4mysquad  Trump never has stated, which side of the Black lives Matter debate he is on. http://t.co/OsGiCHrcwg'",United States,English,10/15/2015 2:27,4811,1,LeftTroll,4MYSQUAD,True
1054,4MYSQUAD,'@4mysquad  This we cover each other asses crap must end & not just police  Dr.'s/Dr.'s Lawyers/Lawyers Christians/Christians Priests/Priests',United States,English,10/16/2015 10:15,4811,1,LeftTroll,4MYSQUAD,True
1058,4MYSQUAD,'@4mysquad  Man 1 Depraved indifference to human life  8 & 1/2 to Life Because it was a 911 dispatcher on duty. NO Parole. AAARRRRRRRRRGGGGGG',United States,English,10/16/2015 14:04,4811,1,LeftTroll,4MYSQUAD,True
1065,4MYSQUAD,"'@4mysquad My brother locked his door, ONCE The next day all bedroom doors were gone Dad: I sold them Buy your own damn doors Doorless a week'",United States,English,10/16/2015 16:42,4811,1,LeftTroll,4MYSQUAD,True
1068,4MYSQUAD,"'@4mysquad found you from tumblr, MY GOD�. If you don't get em which yo baddazz✊� http://t.co/UvHYoiephJ'",United States,English,10/16/2015 2:53,4811,1,LeftTroll,4MYSQUAD,True
1069,4MYSQUAD,'@4mysquad   Time to start kicking these donkeys in deep depressions OUT of the police forces across this country. http://t.co/JQ1XJjnfea',United States,English,10/16/2015 8:12,4811,1,LeftTroll,4MYSQUAD,True
1070,4MYSQUAD,'@4mysquad  Mandatory sentencing. ANY Law Enforcement Officer found guilty of a crime gets double normal jail time. http://t.co/f3gQdvcUwi',United States,English,10/16/2015 9:29,4811,1,LeftTroll,4MYSQUAD,True
